,name,rating,reviews,company-type,HQ,age,employees
2,Hindustan Aerona...,4.4,(963 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 32 more",82 years old,10k-50k Employees (India)
3,Mahindra Logisti...,4.2,(962 Reviews),Public,"Mumbai,Maharashtra + 86 more",22 years old,1k-5k Employees (India)
4,Info Edge,3.9,(1.5k Reviews),Public,"Noida,Uttar Pradesh + 49 more",27 years old,1k-5k Employees (India)
5,Karvy Fintech,3.7,(960 Reviews),3.7,3.7,3.7,3.7
6,MetLife,4.4,(957 Reviews),Private,New York + 38 more,14 years old,5k-10k Employees (India)
7,Narayana Health,4.3,(949 Reviews),4.3,4.3,4.3,4.3
8,Novartis Healthc...,4.1,(1.2k Reviews),Public,"Mumbai,Maharashtra + 53 more",26 years old,1k-5k Employees (India)
9,WABCO,4.0,(944 Reviews),Public,Berne + 30 more,53 years old,1k-5k Employees (India)
10,Metro,4.2,(943 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 51 more",58 years old,1k-5k Employees (India)
11,Bureau Veritas,3.9,(958 Reviews),Private,La Défense + 68 more,194 years old,1k-5k Employees (India)
